epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
1.0,1.0,1.8642867871676572e-06,-67.51373624801636,3.973579623561818e-06,72,4000.0,1000.0
2.0,1.0,9.324426173407119e-07,-68.38919162750244,1.5244867199726286e-06,73,4000.0,1000.0
3.0,1.0,4.6192675995371246e-07,-69.0351972579956,6.948931172701123e-07,74,4000.0,1000.0
4.0,1.0,3.580740042252728e-07,-68.70990419387817,1.0890496923821047e-05,75,4000.0,1000.0
5.0,1.0,3.3350801231790683e-07,-67.82853651046753,5.349219009076478e-06,76,4000.0,1000.0
6.0,1.0,3.301932451904577e-07,-67.98218297958374,1.388124655932188e-05,77,4000.0,1000.0
7.0,1.0,2.644953269737016e-07,-66.98639297485352,1.1889655979757663e-05,78,4000.0,1000.0
8.0,1.0,2.639208105392754e-07,-68.36348295211792,1.445636257813021e-06,79,4000.0,1000.0
9.0,1.0,2.639208105392754e-07,-68.83233165740967,1.4206746527634095e-05,80,4000.0,1000.0
10.0,1.0,2.639208105392754e-07,-67.685546875,2.224979289167095e-05,81,4000.0,1000.0
11.0,1.0,2.639208105392754e-07,-66.05517625808716,1.067908488039393e-05,82,4000.0,1000.0
12.0,1.0,2.639208105392754e-07,-66.92878580093384,7.4717268034874e-06,83,4000.0,1000.0
13.0,1.0,2.015330835547502e-07,-68.87036466598511,9.751715879247058e-07,84,4000.0,1000.0
14.0,1.0,1.610225268677823e-07,-68.65012550354004,5.9957551457046065e-06,85,4000.0,1000.0
15.0,1.0,1.4385841495823115e-07,-68.19870662689209,5.224786491453415e-06,86,4000.0,1000.0
16.0,1.0,1.306943033796415e-07,-68.80181837081909,4.362705567473313e-06,87,4000.0,1000.0
17.0,1.0,1.306943033796415e-07,-67.94278526306152,1.0049858246929944e-05,88,4000.0,1000.0
18.0,1.0,1.306943033796415e-07,-67.6045470237732,1.2636333849513903e-05,89,4000.0,1000.0
19.0,1.0,1.306943033796415e-07,-67.17426013946533,4.038426595798228e-06,90,4000.0,1000.0
20.0,1.0,1.306943033796415e-07,-68.05061054229736,4.245956461090827e-06,91,4000.0,1000.0
21.0,1.0,1.2499441481850226e-07,-68.30158948898315,5.778273589385208e-06,92,4000.0,1000.0
