epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
33.0,0.0,6.227585345186526e-07,-65.48730778694153,3.343776370456908e-06,106,4000.0,1000.0
34.0,0.0,5.918975034546747e-07,-67.61019086837769,1.9595047433540458e-06,107,4000.0,1000.0
35.0,0.0,5.734591468353756e-07,-66.18411827087402,9.252329618902877e-06,108,4000.0,1000.0
36.0,0.0,4.646066713576147e-07,-66.23270654678345,5.362941919884179e-06,109,4000.0,1000.0
37.0,0.0,4.4389884124029777e-07,-67.59485244750977,2.6353651264798827e-05,110,4000.0,1000.0
38.0,0.0,4.260050729953946e-07,-65.63950872421265,1.3331780792213976e-05,111,4000.0,1000.0
39.0,0.0,3.8534923874067317e-07,-66.75640869140625,6.476660200860351e-05,112,4000.0,1000.0
40.0,0.0,3.813771911609365e-07,-65.58357882499695,8.536544555681758e-06,113,4000.0,1000.0
41.0,0.0,3.813771911609365e-07,-67.32106161117554,4.866300514549948e-06,114,4000.0,1000.0
42.0,0.0,3.669639454528806e-07,-64.27110719680786,2.1816113076056354e-05,115,4000.0,1000.0
43.0,0.0,3.518212849940028e-07,-66.76133823394775,1.1403573807911016e-05,116,4000.0,1000.0
44.0,0.0,3.4135558735215454e-07,-67.32735633850098,3.073076004511677e-05,117,4000.0,1000.0
45.0,0.0,3.2664414106875483e-07,-66.97802305221558,4.197519228910096e-05,118,4000.0,1000.0
46.0,0.0,3.1513263820670545e-07,-66.66799354553223,1.2833277651225217e-05,119,4000.0,1000.0
47.0,0.0,2.9081576258249697e-07,-67.15229225158691,5.770934876636602e-06,120,4000.0,1000.0
48.0,0.0,2.6805312813849014e-07,-68.5516357421875,9.249213690054603e-06,121,4000.0,1000.0
49.0,0.0,2.423404339424451e-07,-67.26616477966309,7.863533028285019e-06,122,4000.0,1000.0
50.0,0.0,2.0225549235419749e-07,-66.43992233276367,2.3833204977563582e-05,123,4000.0,1000.0
51.0,0.0,2.0225549235419749e-07,-67.55592775344849,1.6624719137325883e-05,124,4000.0,1000.0
52.0,0.0,2.0225549235419749e-07,-65.33029413223267,9.077312824956607e-06,125,4000.0,1000.0
53.0,0.0,2.0225549235419749e-07,-68.50462818145752,1.7952673943000264e-06,126,4000.0,1000.0
54.0,0.0,1.8690668923682097e-07,-68.33051872253418,2.008427145483438e-05,127,4000.0,1000.0
55.0,0.0,1.8690668923682097e-07,-66.71294641494751,2.2957061446504667e-05,128,4000.0,1000.0
56.0,0.0,1.734363337391187e-07,-67.2231035232544,1.4125241250440013e-05,129,4000.0,1000.0
57.0,0.0,1.722327738207241e-07,-68.33121061325073,1.4436612900681212e-06,130,4000.0,1000.0
58.0,0.0,1.6882047759736452e-07,-69.01786041259766,1.1594006537052337e-06,131,4000.0,1000.0
59.0,0.0,1.6419463122474554e-07,-67.08226585388184,6.9628754317818675e-06,132,4000.0,1000.0
60.0,0.0,1.6419463122474554e-07,-66.75574350357056,1.0405849934613798e-05,133,4000.0,1000.0
61.0,0.0,1.6419463122474554e-07,-67.4915599822998,1.2057487765559927e-05,134,4000.0,1000.0
62.0,0.0,1.6419463122474554e-07,-67.05459880828857,7.615549748152262e-06,135,4000.0,1000.0
63.0,0.0,1.6419463122474554e-07,-68.42134857177734,8.923459972720593e-06,136,4000.0,1000.0
64.0,0.0,1.596494882960542e-07,-67.68130826950073,3.546047310010181e-06,137,4000.0,1000.0
65.0,0.0,1.596494882960542e-07,-68.2283992767334,3.6118335628998466e-06,138,4000.0,1000.0
66.0,0.0,1.596494882960542e-07,-66.42489647865295,2.213608422607649e-05,139,4000.0,1000.0
67.0,0.0,1.596494882960542e-07,-67.49707698822021,2.3729227905278094e-05,140,4000.0,1000.0
68.0,0.0,1.596494882960542e-07,-66.76294755935669,1.386159874527948e-05,141,4000.0,1000.0
69.0,0.0,1.596494882960542e-07,-68.41722536087036,7.688417099416256e-06,142,4000.0,1000.0
0.0,1.0,3.073828793276334e-06,-64.28086829185486,1.5582405467284843e-05,143,4000.0,1000.0
1.0,1.0,1.9691897250595503e-06,-68.09341382980347,3.0332626010931563e-06,144,4000.0,1000.0
2.0,1.0,7.056485742396035e-07,-68.95812606811523,8.39147844544641e-07,145,4000.0,1000.0
3.0,1.0,4.6779933882135083e-07,-69.15373992919922,5.527955408979324e-07,146,4000.0,1000.0
4.0,1.0,2.3846686758588476e-07,-69.05149269104004,9.014285751618445e-06,147,4000.0,1000.0
5.0,1.0,2.3846686758588476e-07,-66.14799690246582,1.4486614418274257e-05,148,4000.0,1000.0
6.0,1.0,2.3215365274609212e-07,-66.29308319091797,1.994545164052397e-05,149,4000.0,1000.0
7.0,1.0,2.3215365274609212e-07,-66.83624744415283,4.831404112337623e-06,150,4000.0,1000.0
8.0,1.0,1.8114961619630776e-07,-67.24989700317383,4.487146725296043e-06,151,4000.0,1000.0
9.0,1.0,1.6718873041554616e-07,-68.3908486366272,1.2325854186201468e-05,152,4000.0,1000.0
10.0,1.0,1.5758874383209331e-07,-67.42842960357666,8.35980517877033e-06,153,4000.0,1000.0
11.0,1.0,1.5474003589588392e-07,-68.0832142829895,5.5661525948380586e-06,154,4000.0,1000.0
12.0,1.0,1.5464993907698954e-07,-68.79822874069214,9.453636948819621e-07,155,4000.0,1000.0
13.0,1.0,1.4077741639084707e-07,-69.16416215896606,1.458163410461566e-06,156,4000.0,1000.0
14.0,1.0,1.0244198023201534e-07,-68.20261192321777,5.223855168878799e-06,157,4000.0,1000.0
15.0,1.0,1.0244198023201534e-07,-67.81812477111816,9.156485248240642e-06,158,4000.0,1000.0
16.0,1.0,1.0244198023201534e-07,-67.22710466384888,1.1378043382137548e-05,159,4000.0,1000.0
17.0,1.0,1.0244198023201534e-07,-67.41964912414551,2.537099499022588e-05,160,4000.0,1000.0
18.0,1.0,1.0244198023201534e-07,-67.80552005767822,7.670637387491297e-06,161,4000.0,1000.0
19.0,1.0,1.0244198023201534e-07,-68.80387163162231,1.0850570788534242e-06,162,4000.0,1000.0
0.0,1.0,3.932689651264809e-06,-61.264405488967896,1.3054302144155372e-05,163,4000.0,1000.0
1.0,1.0,1.8642867871676572e-06,-67.51373624801636,3.973579623561818e-06,164,4000.0,1000.0
2.0,1.0,9.324426173407119e-07,-68.38919162750244,1.5244867199726286e-06,165,4000.0,1000.0
3.0,1.0,4.6192675995371246e-07,-69.0351972579956,6.948931172701123e-07,166,4000.0,1000.0
4.0,1.0,3.580740042252728e-07,-68.70990419387817,1.0890496923821047e-05,167,4000.0,1000.0
5.0,1.0,3.3350801231790683e-07,-67.82853651046753,5.349219009076478e-06,168,4000.0,1000.0
6.0,1.0,3.301932451904577e-07,-67.98218297958374,1.388124655932188e-05,169,4000.0,1000.0
7.0,1.0,2.644953269737016e-07,-66.98639297485352,1.1889655979757663e-05,170,4000.0,1000.0
8.0,1.0,2.639208105392754e-07,-68.36348295211792,1.445636257813021e-06,171,4000.0,1000.0
9.0,1.0,2.639208105392754e-07,-68.83233165740967,1.4206746527634095e-05,172,4000.0,1000.0
10.0,1.0,2.639208105392754e-07,-67.685546875,2.224979289167095e-05,173,4000.0,1000.0
11.0,1.0,2.639208105392754e-07,-66.05517625808716,1.067908488039393e-05,174,4000.0,1000.0
12.0,1.0,2.639208105392754e-07,-66.92878580093384,7.4717268034874e-06,175,4000.0,1000.0
13.0,1.0,2.015330835547502e-07,-68.87036466598511,9.751715879247058e-07,176,4000.0,1000.0
14.0,1.0,1.610225268677823e-07,-68.65012550354004,5.9957551457046065e-06,177,4000.0,1000.0
15.0,1.0,1.4385841495823115e-07,-68.19870662689209,5.224786491453415e-06,178,4000.0,1000.0
16.0,1.0,1.306943033796415e-07,-68.80181837081909,4.362705567473313e-06,179,4000.0,1000.0
17.0,1.0,1.306943033796415e-07,-67.94278526306152,1.0049858246929944e-05,180,4000.0,1000.0
18.0,1.0,1.306943033796415e-07,-67.6045470237732,1.2636333849513903e-05,181,4000.0,1000.0
19.0,1.0,1.306943033796415e-07,-67.17426013946533,4.038426595798228e-06,182,4000.0,1000.0
20.0,1.0,1.306943033796415e-07,-68.05061054229736,4.245956461090827e-06,183,4000.0,1000.0
21.0,1.0,1.2499441481850226e-07,-68.30158948898315,5.778273589385208e-06,184,4000.0,1000.0
22.0,1.0,1.2499441481850226e-07,-68.56424331665039,2.109941306116525e-06,185,4000.0,1000.0
23.0,1.0,1.2499441481850226e-07,-69.08436059951782,3.7376685213530436e-06,186,4000.0,1000.0
24.0,1.0,1.2499441481850226e-07,-67.47553300857544,1.22075234685326e-05,187,4000.0,1000.0
25.0,1.0,1.2499441481850226e-07,-68.3941216468811,1.0530926374485716e-05,188,4000.0,1000.0
